2016/01/04,319,319,303,315,5400,315
2016/01/05,314,314,313,313,700,313
2016/01/06,310,310,307,307,4500,307
2016/01/07,307,307,300,300,2700,300
2016/01/08,295,297,295,297,3100,297
2016/01/12,295,295,285,285,6400,285
2016/01/13,286,286,286,286,200,286
2016/01/14,286,289,286,286,700,286
2016/01/15,285,285,285,285,100,285
2016/01/18,283,285,283,283,3200,283
2016/01/19,283,283,283,283,1000,283
2016/01/20,283,284,270,270,4800,270
2016/01/21,270,273,265,265,7000,265
2016/01/22,265,268,263,268,4800,268
2016/01/25,270,275,270,275,16300,275
2016/01/26,275,275,274,275,400,275
2016/01/27,280,282,280,282,400,282
2016/01/28,287,287,286,286,6000,286
2016/01/29,287,288,287,288,200,288
2016/02/01,292,295,290,295,2000,295
2016/02/02,301,310,301,303,2500,303
2016/02/03,300,300,291,291,900,291
2016/02/04,298,300,298,300,300,300
2016/02/05,301,301,298,298,500,298
2016/02/08,301,302,297,297,800,297
2016/02/09,300,300,299,299,1400,299
2016/02/10,302,302,285,285,2400,285
2016/02/12,269,274,266,267,4400,267
2016/02/15,296,296,296,296,1200,296
2016/02/16,272,296,272,296,300,296
2016/02/17,296,296,280,280,400,280
2016/02/18,282,284,282,284,2900,284
2016/02/19,281,282,281,281,700,281
2016/02/22,281,281,281,281,100,281
2016/02/23,283,291,280,280,2400,280
2016/02/24,289,289,289,289,100,289
2016/02/25,277,277,277,277,100,277
2016/02/26,290,293,287,287,1200,287
2016/02/29,282,282,282,282,100,282
2016/03/01,281,281,281,281,200,281
2016/03/02,297,297,288,288,500,288
2016/03/03,290,290,290,290,100,290
2016/03/04,296,296,292,295,900,295
2016/03/07,298,304,298,304,2200,304
2016/03/08,305,305,303,305,1900,305
2016/03/09,300,300,299,299,300,299
2016/03/10,305,305,305,305,100,305
2016/03/11,306,321,304,304,4900,304
2016/03/14,311,313,311,313,200,313
2016/03/15,313,313,310,310,300,310
2016/03/16,310,311,310,311,1000,311
2016/03/17,319,319,313,317,1200,317
2016/03/22,318,319,318,319,700,319
2016/03/23,322,322,322,322,800,322
2016/03/24,322,322,322,322,800,322
2016/03/25,322,322,321,321,300,321
2016/03/28,320,320,311,320,8100,320
2016/03/29,313,313,313,313,100,313
2016/03/31,318,318,315,315,1700,315
2016/04/01,318,320,318,320,400,320
2016/04/04,308,309,308,308,2900,308
2016/04/05,308,308,308,308,100,308
2016/04/06,303,311,291,311,1500,311
2016/04/07,319,324,319,324,1100,324
2016/04/08,318,319,318,319,4100,319
2016/04/11,321,321,316,316,1600,316
2016/04/12,317,317,317,317,100,317
2016/04/13,318,318,308,308,900,308
2016/04/14,308,324,308,324,900,324
2016/04/15,324,325,324,325,300,325
2016/04/18,325,325,325,325,900,325
2016/04/20,317,317,311,312,500,312
2016/04/21,320,325,317,317,3400,317
2016/04/22,324,324,311,311,300,311
2016/04/25,303,308,303,308,1400,308
2016/04/28,315,315,309,309,500,309
2016/05/02,302,320,302,304,800,304
2016/05/06,304,304,304,304,400,304
2016/05/09,304,304,304,304,3600,304
2016/05/10,311,311,311,311,200,311
2016/05/11,304,304,304,304,100,304
2016/05/12,304,304,304,304,100,304
2016/05/13,311,311,311,311,100,311
2016/05/16,305,305,305,305,700,305
2016/05/18,310,310,310,310,100,310
2016/05/19,307,308,307,308,300,308
2016/05/20,310,310,310,310,700,310
2016/05/23,310,310,310,310,500,310
2016/05/24,318,318,318,318,500,318
2016/05/25,318,318,312,312,800,312
2016/05/26,316,316,316,316,1300,316
2016/05/31,323,323,313,313,1300,313
